Date;Price;Change %
4/1/2020;99.67;0.63%
4/2/2020;100.18;0.51%
4/3/2020;100.58;0.40%
4/6/2020;100.68;0.11%
4/7/2020;99.90;-0.78%
4/8/2020;100.12;0.22%
4/9/2020;99.52;-0.60%
4/10/2020;99.52;0.00%
04/13/2020;99.35;-0.17%
04/14/2020;98.89;-0.46%
04/15/2020;99.46;0.58%
04/16/2020;100.03;0.57%
04/17/2020;99.78;-0.24%
04/20/2020;99.96;0.17%
04/21/2020;100.26;0.30%
04/22/2020;100.39;0.13%
04/23/2020;100.43;0.04%
04/24/2020;100.38;-0.05%
04/27/2020;100.04;-0.34%
04/28/2020;99.86;-0.18%
04/29/2020;99.57;-0.30%
04/30/2020;99.02;-0.55%
5/1/2020;99.08;0.06%
5/4/2020;99.48;0.41%
5/5/2020;99.71;0.23%
5/6/2020;100.09;0.38%
5/7/2020;99.89;-0.20%
5/8/2020;99.73;-0.16%
5/11/2020;100.24;0.50%
5/12/2020;99.93;-0.30%
05/13/2020;100.24;0.31%
05/14/2020;100.47;0.22%
05/15/2020;100.40;-0.06%
05/18/2020;99.67;-0.73%
05/19/2020;99.37;-0.29%
05/20/2020;99.12;-0.25%
05/21/2020;99.37;0.25%
05/22/2020;99.86;0.50%
05/25/2020;99.86;0.00%
05/26/2020;98.91;-0.96%
05/27/2020;99.06;0.16%
05/28/2020;98.38;-0.69%
05/29/2020;98.34;-0.04%
6/1/2020;97.83;-0.52%
6/2/2020;97.67;-0.16%
6/3/2020;97.28;-0.41%
6/4/2020;96.68;-0.62%
6/5/2020;96.94;0.27%
6/8/2020;96.62;-0.33%
6/9/2020;96.32;-0.30%
6/10/2020;95.96;-0.38%
6/11/2020;96.73;0.81%
6/12/2020;97.32;0.61%
06/15/2020;96.71;-0.63%
06/16/2020;96.96;0.26%
06/17/2020;97.16;0.21%
06/18/2020;97.42;0.27%
06/19/2020;97.62;0.21%
06/22/2020;97.04;-0.60%
06/23/2020;96.65;-0.40%
06/24/2020;97.15;0.52%
06/25/2020;97.43;0.29%
06/26/2020;97.43;0.00%
06/29/2020;97.54;0.11%
06/30/2020;97.39;-0.15%
7/1/2020;97.20;-0.20%
7/2/2020;97.32;0.12%
7/3/2020;97.17;-0.15%
7/6/2020;96.72;-0.46%
7/7/2020;96.88;0.16%
7/8/2020;96.43;-0.47%
7/9/2020;96.70;0.28%
7/10/2020;96.65;-0.05%
07/13/2020;96.46;-0.19%
07/14/2020;96.26;-0.21%
